m,iterations,EF multiplier,EF round robin,EF rounded mnw,PO round robin
10,1000,0,1,1.0,1000.0
20,1000,0,76,198.0,994.0
50,1000,2,925,866.0,548.0
100,1000,16,1000,1000.0,103.0
200,1000,166,1000,1000.0,0.0
500,1000,668,1000,1000.0,0.0
1000,1000,946,1000,1000.0,
2000,1000,999,1000,1000.0,
5000,1000,1000,1000,,
10000,1000,1000,1000,,
